Time_h	G01_YPD1	G01_YPD2	G01_YPD3	G02_YPD1	G02_YPD2	G02_YPD3	G03_YPD1	G03_YPD2	G03_YPD3	G10001_YPD1	G10001_YPD2	G10001_YPD3	G10002_YPD1	G10002_YPD2	G10002_YPD3	G10003_YPD1	G10003_YPD2	G10003_YPD3
7.150209167	0.523	0.5012	0.5087	0.5248	0.5109	0.4876	0.5077	0.4865	0.4837	0.6123	0.6004	0.587	0.6059	0.5547	0.5542	0.6255	0.6503	0.6073
7.490763889	0.5905	0.5648	0.5762	0.5899	0.5736	0.5543	0.5712	0.5501	0.5447	0.6741	0.6614	0.6494	0.667	0.6164	0.6156	0.6847	0.7095	0.6675
7.831183056	0.6714	0.6465	0.6522	0.671	0.656	0.6324	0.6526	0.6276	0.625	0.7441	0.7315	0.7216	0.7313	0.6884	0.6856	0.749	0.7711	0.7363
8.171675	0.7349	0.7122	0.7189	0.7366	0.7202	0.6985	0.7177	0.6947	0.6919	0.7925	0.7808	0.7711	0.7787	0.7386	0.7339	0.7937	0.8158	0.7894
8.512230556	0.8061	0.7835	0.791	0.8076	0.7933	0.7743	0.7906	0.7703	0.7655	0.8436	0.8363	0.8274	0.8246	0.7888	0.7877	0.8412	0.8528	0.843
8.852654722	0.8631	0.8434	0.8511	0.8663	0.8529	0.8392	0.8524	0.8321	0.8281	0.8849	0.8758	0.8655	0.8662	0.829	0.8347	0.8741	0.8874	0.8736
9.193071389	0.9092	0.8925	0.9004	0.9133	0.9007	0.8859	0.901	0.8842	0.8808	0.9156	0.9033	0.8955	0.8877	0.8586	0.8523	0.9041	0.9058	0.9008
9.533623611	0.952	0.9414	0.9491	0.9594	0.948	0.9382	0.9498	0.9338	0.9348	0.9438	0.9346	0.9297	0.9128	0.8842	0.8832	0.9342	0.9357	0.9416
9.874041389	0.9897	0.9815	0.9908	0.9966	0.9871	0.9786	0.9904	0.9751	0.976	0.9683	0.9635	0.9562	0.937	0.9078	0.907	0.9556	0.9572	0.972
10.21446306	1.0189	1.0127	1.0202	1.0255	1.0188	1.0097	1.0223	1.0082	1.0113	0.992	0.9824	0.9761	0.9557	0.9257	0.9251	0.9773	0.9742	0.9801
10.55501667	1.0444	1.0413	1.0448	1.0528	1.0472	1.0375	1.0495	1.0352	1.0384	1.007	1.0004	0.9936	0.9729	0.9422	0.94	0.9923	0.9933	0.9853
10.89551944	1.0589	1.0597	1.06	1.0682	1.0641	1.0539	1.0663	1.0543	1.0587	1.0175	1.01	1.0041	0.9809	0.9509	0.9464	1.0023	1.0017	0.9978
11.23593556	1.0834	1.0833	1.0863	1.0924	1.0879	1.0781	1.0929	1.0802	1.0841	1.0359	1.0294	1.0245	0.9962	0.9711	0.964	1.0232	1.0235	1.0236
11.57648028	1.1007	1.1009	1.1054	1.1114	1.1066	1.0965	1.1136	1.0997	1.1038	1.0504	1.0445	1.0363	1.0086	0.9841	0.9784	1.0365	1.0368	1.0313
11.91703361	1.1156	1.1164	1.1194	1.1259	1.123	1.1124	1.1274	1.1167	1.1173	1.0629	1.0566	1.0481	1.0194	0.9935	0.9894	1.0494	1.0527	1.0317
12.25745528	1.1283	1.1293	1.1328	1.1386	1.1338	1.1269	1.1404	1.1296	1.1316	1.0714	1.0666	1.0594	1.0289	1.0009	0.9935	1.0554	1.0564	1.0466
12.59789444	1.1443	1.1451	1.1498	1.1552	1.1513	1.1422	1.1565	1.1475	1.1465	1.0857	1.0795	1.0725	1.0411	1.013	1.0093	1.0693	1.0692	1.0644
12.93844694	1.1558	1.1575	1.1632	1.1669	1.1627	1.1558	1.1686	1.1597	1.1621	1.0976	1.0887	1.0794	1.049	1.0217	1.0158	1.078	1.0772	1.0608
13.27886694	1.1636	1.1652	1.171	1.1736	1.1716	1.164	1.1795	1.1692	1.1704	1.1015	1.0947	1.0868	1.0542	1.0256	1.0208	1.0845	1.0839	1.0851
13.61928611	1.1733	1.1767	1.1815	1.1852	1.185	1.1766	1.1897	1.1792	1.1813	1.109	1.1036	1.0958	1.0613	1.0345	1.0279	1.0909	1.0902	1.0982
13.95984056	1.1801	1.1854	1.1903	1.1913	1.1911	1.1855	1.1947	1.1891	1.1907	1.1123	1.1085	1.1002	1.0655	1.0415	1.0366	1.0949	1.092	1.097
14.30026194	1.1696	1.1726	1.1775	1.1797	1.1794	1.174	1.1846	1.18	1.1802	1.1002	1.0932	1.0885	1.0557	1.0269	1.0255	1.0808	1.0792	1.0794
14.64068083	1.1866	1.1928	1.1963	1.197	1.1993	1.1938	1.2007	1.1987	1.1992	1.12	1.1125	1.107	1.0732	1.0469	1.0438	1.0937	1.0932	1.0853
14.98123528	1.189	1.1947	1.1964	1.1971	1.1988	1.1947	1.2031	1.2	1.2012	1.1201	1.1121	1.1067	1.0758	1.0444	1.043	1.094	1.0937	1.0888
15.32178806	1.1926	1.1988	1.2018	1.2024	1.205	1.1987	1.2073	1.2052	1.207	1.1514	1.1177	1.111	1.0981	1.0507	1.0442	1.0991	1.1	1.0924
15.66220694	1.1947	1.2015	1.2031	1.2067	1.2087	1.1997	1.2106	1.208	1.2082	1.1593	1.1197	1.1123	1.1141	1.0515	1.0478	1.0965	1.1007	1.0967
16.00274806	1.2009	1.2063	1.2086	1.2117	1.2121	1.2045	1.2154	1.213	1.213	1.1603	1.1239	1.1159	1.1304	1.0564	1.047	1.1003	1.1057	1.0993
16.34330333	1.2057	1.2103	1.2108	1.2147	1.2155	1.2089	1.2188	1.2157	1.2177	1.1776	1.1267	1.1192	1.1578	1.0746	1.0518	1.1066	1.1082	1.1126
16.68371694	1.207	1.2113	1.2151	1.2179	1.2197	1.2124	1.2213	1.2202	1.2203	1.1917	1.1302	1.1218	1.2007	1.0956	1.0552	1.1092	1.1119	1.1134
17.02413222	1.2103	1.216	1.217	1.2209	1.2214	1.215	1.2256	1.2235	1.2226	1.1948	1.1317	1.1242	1.217	1.1071	1.0557	1.1131	1.1131	1.1035
17.36468611	1.2143	1.2189	1.2202	1.2243	1.2246	1.2188	1.2274	1.2246	1.2262	1.2331	1.1374	1.1291	1.2219	1.1219	1.059	1.1172	1.1172	1.1132
17.70510556	1.2126	1.2176	1.2184	1.2218	1.2229	1.2166	1.2274	1.2243	1.2253	1.22	1.1356	1.1282	1.2137	1.1227	1.0563	1.1158	1.1169	1.1179
18.04552389	1.2179	1.2216	1.2234	1.2281	1.2293	1.2205	1.2316	1.2283	1.2288	1.2159	1.1429	1.1313	1.2125	1.1547	1.0627	1.1232	1.1214	1.1283
18.38608278	1.2212	1.2228	1.2254	1.2264	1.2304	1.2231	1.2325	1.2312	1.2309	1.2497	1.1417	1.1356	1.2198	1.1763	1.0624	1.1225	1.1256	1.1165
18.72657194	1.2222	1.2249	1.2253	1.2299	1.2305	1.2229	1.2338	1.2293	1.2303	1.2391	1.1427	1.1354	1.2187	1.168	1.0643	1.1256	1.126	1.1228
19.06699	1.2263	1.2321	1.2302	1.2349	1.2356	1.2284	1.2411	1.2373	1.2374	1.2599	1.1509	1.1447	1.2135	1.1804	1.0709	1.1314	1.1325	1.1355
19.407535	1.2279	1.232	1.2326	1.2369	1.2379	1.23	1.2409	1.2399	1.2398	1.261	1.1541	1.1436	1.2185	1.196	1.0704	1.1339	1.1356	1.1289
19.74809361	1.2285	1.2328	1.235	1.2374	1.2389	1.2304	1.2422	1.2382	1.2399	1.2468	1.1526	1.1425	1.2239	1.202	1.0713	1.1346	1.1373	1.1233
20.08851417	1.2343	1.2378	1.2375	1.2426	1.2427	1.2349	1.2464	1.2438	1.243	1.2573	1.1582	1.149	1.2185	1.204	1.074	1.1397	1.1426	1.1353
20.42898417	1.236	1.2418	1.2394	1.2437	1.2456	1.2371	1.2498	1.2454	1.2474	1.2436	1.1604	1.1508	1.2272	1.1974	1.0775	1.1438	1.1482	1.1401
20.76953944	1.2355	1.2394	1.2375	1.2433	1.2457	1.2355	1.247	1.2449	1.2453	1.2611	1.1575	1.1468	1.2219	1.1949	1.0748	1.1418	1.1442	1.1417
21.10996639	1.2428	1.2462	1.2459	1.2492	1.2528	1.2438	1.2558	1.254	1.2512	1.277	1.1668	1.1583	1.2338	1.2055	1.0818	1.15	1.1518	1.1528
21.45038278	1.2438	1.2476	1.245	1.2502	1.2525	1.2427	1.2545	1.256	1.2516	1.2617	1.1669	1.1577	1.2347	1.2007	1.0823	1.1516	1.1541	1.1444
21.79094833	1.2238	1.2273	1.2249	1.2301	1.2331	1.2235	1.2353	1.2313	1.2325	1.2435	1.1493	1.1389	1.2091	1.1763	1.0615	1.1325	1.134	1.1324
22.13137306	1.2556	1.2586	1.2542	1.26	1.2621	1.2522	1.2639	1.2619	1.2624	1.2726	1.1784	1.1729	1.2375	1.2097	1.0912	1.1647	1.1673	1.1634
22.47180444	1.256	1.2609	1.2584	1.2634	1.2664	1.2569	1.268	1.266	1.2653	1.2714	1.1811	1.1744	1.2383	1.2078	1.0942	1.1657	1.1673	1.17
22.81236333	1.2628	1.2651	1.2625	1.268	1.2695	1.261	1.273	1.269	1.2711	1.2545	1.1859	1.1793	1.2411	1.2163	1.0975	1.1719	1.1731	1.1793
23.15292194	1.2647	1.2692	1.2655	1.2712	1.2743	1.2635	1.2755	1.2731	1.2734	1.2306	1.1897	1.1826	1.2405	1.2123	1.0994	1.1775	1.1791	1.1793
23.49334222	1.2656	1.2683	1.2652	1.2712	1.273	1.2653	1.2752	1.2721	1.2734	1.1974	1.1879	1.1844	1.238	1.2197	1.0984	1.1778	1.1787	1.1842
23.83388667	1.2604	1.2621	1.2607	1.266	1.2659	1.2591	1.2691	1.2673	1.2664	1.1921	1.1835	1.1774	1.226	1.2114	1.0924	1.1738	1.1768	1.1715
24.17443556	1.2716	1.2755	1.2704	1.2767	1.2775	1.2704	1.282	1.2789	1.2769	1.2029	1.1952	1.1914	1.2478	1.2282	1.1046	1.1868	1.1898	1.1883
